184,185,186,187,168,169,170,171,-1,-1,-1,-1,-1,-1,-1,-1,119,153,154,135,-1,-1,4,5,-1,4,5,150,-1,-1,4,5,-1,-1,-1,216,217,218,219,200,201,202,203,184,185,186,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,201,202,203,184,185,186,187,-1,-1,-1,-1,-1,-1,-1,-1,168,169,170,171,-1,-1,20,21,-1,20,21,-1,-1,-1,20,21,-1,-1,-1,232,233,234,235,216,217,218,219,200,201,202,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,217,218,219,200,201,202,203,-1,-1,-1,-1,-1,-1,-1,-1,184,185,186,187,-1,-1,36,37,150,36,37,-1,-1,-1,36,37,-1,-1,-1,248,249,250,251,232,233,234,235,216,217,218,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,97,234,235,216,217,218,219,-1,-1,-1,-1,-1,-1,-1,-1,200,201,202,203,-1,-1,-1,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,249,250,251,232,233,234,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,171,250,251,232,233,234,235,-1,-1,-1,-1,-1,-1,-1,-1,216,217,218,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,249,250,251,-1,248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,187,-1,-1,248,249,250,251,-1,-1,-1,-1,-1,-1,-1,-1,232,233,234,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,249,250,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,166,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
234,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119,-1,182,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,128,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,144,145,-1,-1,-1,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
